,Door,CubicleIN,CubicleOUT,Entry,Exit,Hygiene,MHM,Personal,Cubicle
Door,0.0,0.0,0.16666666666666669,0.0,0.2,0.08333333333333333,0.0,0.45,0.1
CubicleIN,0.06666666666666667,0.0,0.5333333333333333,0.0,0.0,0.1,0.06666666666666667,0.0,0.23333333333333334
CubicleOUT,0.16666666666666666,0.21666666666666665,0.09285714285714286,0.0,0.25,0.0,0.03571428571428571,0.23809523809523808,0.0
Entry,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hygiene,0.0,0.02380952380952381,0.0030395136778115506,0.0,0.0,0.5977348386162976,0.12172528585902447,0.1994861774497033,0.054204660587639314
MHM,0.0,0.047619047619047616,0.02040816326530612,0.0,0.07142857142857142,0.09459783913565425,0.2848339335734294,0.3881152460984394,0.09299719887955181
Personal,0.033730158730158735,0.021390374331550804,0.020833333333333332,0.0,0.008403361344537816,0.27884199134199134,0.13209829386299976,0.3522398353280707,0.15246265172735762
Cubicle,0.02797202797202798,0.0,0.0,0.0,0.09615384615384616,0.22494172494172496,0.06963869463869464,0.39743589743589747,0.1838578088578089
