"","Bag","Bin outside the cubicle","Bottle","Clothing","Cubicle door handle inside","Cubicle door handle outside","Door handle inside","Door handle outside","Face","Flush button","Hair","Hand dryer","Paper towel","Phone","Skin","Soap dispenser","Tap","Toilet brush handle","Toilet paper","Toilet surface"
"Bag",0,0,0,0.285714285714286,0.142857142857143,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0.142857142857143,0,0.0714285714285714,0,0,0.0714285714285714,0
"Bin outside the cubicle",0.222222222222222,0,0,0,0.111111111111111,0,0.555555555555556,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0
"Bottle",0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0
"Clothing",0.05,0,0.025,0.2,0.025,0,0,0,0.025,0.175,0,0,0,0.125,0.075,0.05,0,0,0.225,0.025
"Cubicle door handle inside",0.185185185185185,0,0,0.148148148148148,0.222222222222222,0,0,0,0,0,0,0,0,0.0740740740740741,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.037037037037037
"Cubicle door handle outside",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door handle inside",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door handle outside",0,0,0.1,0,0.3,0.4,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Face",0.25,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Flush button",0.214285714285714,0,0,0.142857142857143,0.214285714285714,0,0,0,0,0.0714285714285714,0,0,0,0.142857142857143,0,0,0.142857142857143,0.0714285714285714,0,0
"Hair",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hand dryer",0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"Paper towel",0,0.571428571428571,0.0714285714285714,0,0,0,0.0714285714285714,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0
"Phone",0.0526315789473684,0,0,0.263157894736842,0.105263157894737,0,0.0526315789473684,0,0,0.0526315789473684,0,0.0526315789473684,0,0.210526315789474,0,0,0,0,0.210526315789474,0
"Skin",0,0,0.0909090909090909,0.363636363636364,0,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0.272727272727273,0.0909090909090909
"Soap dispenser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.916666666666667,0,0,0
"Tap",0,0,0.03125,0,0,0,0,0,0,0.03125,0,0.03125,0.28125,0.03125,0,0.15625,0.4375,0,0,0
"Toilet brush handle",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Toilet paper",0,0,0,0.37037037037037,0.037037037037037,0,0,0,0,0.037037037037037,0,0,0,0,0.296296296296296,0,0,0,0.185185185185185,0.0740740740740741
"Toilet surface",0,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0
