"","Bag","Bin inside the cubicle","Bottle","Clothing","Face","Flush button","Hair","Phone","Skin","Toilet brush handle","Toilet paper","Toilet surface"
"Bag",0.117647058823529,0,0.0294117647058824,0.235294117647059,0,0.0588235294117647,0.0588235294117647,0.0882352941176471,0.0588235294117647,0,0.264705882352941,0.0882352941176471
"Bin inside the cubicle",0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0
"Bottle",0,0,0.387096774193548,0.0967741935483871,0,0.032258064516129,0,0,0.0645161290322581,0,0.32258064516129,0.0967741935483871
"Clothing",0.05,0.0142857142857143,0.0142857142857143,0.235714285714286,0,0.157142857142857,0.0142857142857143,0.1,0.05,0.00714285714285714,0.321428571428571,0.0357142857142857
"Face",0,0,0,0.333333333333333,0.333333333333333,0,0.166666666666667,0.166666666666667,0,0,0,0
"Flush button",0.36,0,0.12,0.12,0.08,0.04,0.08,0.12,0,0,0.04,0.04
"Hair",0.1,0.1,0,0.2,0,0,0,0.1,0.1,0,0.4,0
"Phone",0.0588235294117647,0,0,0.352941176470588,0,0.0588235294117647,0.0294117647058824,0.147058823529412,0.0294117647058824,0.0294117647058824,0.235294117647059,0.0588235294117647
"Skin",0.0952380952380952,0,0.0476190476190476,0.119047619047619,0.0476190476190476,0.0714285714285714,0.0476190476190476,0.0476190476190476,0.0476190476190476,0,0.476190476190476,0
"Toilet brush handle",0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0
"Toilet paper",0.0588235294117647,0,0.0756302521008403,0.34453781512605,0,0.0756302521008403,0.0168067226890756,0.0420168067226891,0.210084033613445,0.00840336134453781,0.142857142857143,0.0252100840336134
"Toilet surface",0.0909090909090909,0,0.0454545454545455,0.636363636363636,0.0454545454545455,0,0,0.0454545454545455,0.0454545454545455,0,0.0909090909090909,0
